tick,robot_id,neighbor_count,stopped,swarm_size
5,fb0,0,0,50
5,fb1,1,1,50
5,fb2,1,1,50
5,fb3,0,0,50
5,fb4,0,0,50
5,fb5,0,0,50
5,fb6,2,1,50
5,fb7,1,1,50
5,fb8,0,0,50
5,fb9,0,0,50
5,fb10,0,0,50
5,fb11,0,0,50
5,fb12,0,0,50
5,fb13,1,1,50
5,fb14,1,1,50
5,fb15,1,1,50
5,fb16,0,0,50
5,fb17,2,1,50
5,fb18,0,0,50
5,fb19,0,0,50
5,fb20,0,0,50
5,fb21,1,1,50
5,fb22,0,0,50
5,fb23,0,0,50
5,fb24,1,1,50
5,fb25,0,0,50
5,fb26,0,0,50
5,fb27,1,1,50
5,fb28,0,0,50
5,fb29,1,1,50
5,fb30,0,0,50
5,fb31,2,1,50
5,fb32,0,0,50
5,fb33,1,1,50
5,fb34,0,0,50
5,fb35,0,0,50
5,fb36,1,1,50
5,fb37,0,0,50
5,fb38,1,1,50
5,fb39,1,1,50
5,fb40,0,0,50
5,fb41,1,1,50
5,fb42,0,0,50
5,fb43,0,0,50
5,fb44,0,0,50
5,fb45,0,0,50
5,fb46,0,0,50
5,fb47,0,0,50
5,fb48,0,0,50
5,fb49,1,1,50
10,fb0,0,0,50
10,fb1,1,1,50
10,fb2,1,1,50
10,fb3,0,0,50
10,fb4,0,0,50
10,fb5,0,0,50
10,fb6,2,1,50
10,fb7,1,1,50
10,fb8,0,0,50
10,fb9,0,0,50
10,fb10,0,0,50
10,fb11,0,0,50
10,fb12,0,0,50
10,fb13,1,1,50
10,fb14,1,1,50
10,fb15,1,1,50
10,fb16,0,0,50
10,fb17,2,1,50
10,fb18,0,0,50
10,fb19,0,0,50
10,fb20,1,1,50
10,fb21,1,1,50
10,fb22,0,0,50
10,fb23,0,0,50
10,fb24,1,1,50
10,fb25,0,0,50
10,fb26,0,0,50
10,fb27,1,1,50
10,fb28,0,0,50
10,fb29,1,1,50
10,fb30,0,0,50
10,fb31,2,1,50
10,fb32,0,0,50
10,fb33,1,1,50
10,fb34,0,0,50
10,fb35,0,0,50
10,fb36,1,1,50
10,fb37,0,0,50
10,fb38,1,1,50
10,fb39,1,1,50
10,fb40,0,0,50
10,fb41,1,1,50
10,fb42,0,0,50
10,fb43,0,0,50
10,fb44,0,0,50
10,fb45,0,0,50
10,fb46,0,0,50
10,fb47,1,1,50
10,fb48,0,0,50
10,fb49,1,1,50
15,fb0,0,0,50
15,fb1,1,1,50
15,fb2,1,1,50
15,fb3,0,0,50
15,fb4,0,0,50
15,fb5,1,1,50
15,fb6,2,1,50
15,fb7,1,1,50
15,fb8,0,0,50
15,fb9,1,1,50
15,fb10,0,0,50
15,fb11,0,0,50
15,fb12,0,0,50
15,fb13,1,1,50
15,fb14,1,1,50
15,fb15,1,1,50
15,fb16,0,0,50
15,fb17,2,1,50
15,fb18,1,1,50
15,fb19,0,0,50
15,fb20,1,1,50
15,fb21,1,1,50
15,fb22,0,0,50
15,fb23,0,0,50
15,fb24,1,1,50
15,fb25,1,1,50
15,fb26,1,1,50
15,fb27,1,1,50
15,fb28,0,0,50
15,fb29,1,1,50
15,fb30,0,0,50
15,fb31,2,1,50
15,fb32,0,0,50
15,fb33,1,1,50
15,fb34,0,0,50
15,fb35,0,0,50
15,fb36,1,1,50
15,fb37,0,0,50
15,fb38,1,1,50
15,fb39,1,1,50
15,fb40,0,0,50
15,fb41,1,1,50
15,fb42,0,0,50
15,fb43,0,0,50
15,fb44,0,0,50
15,fb45,1,1,50
15,fb46,0,0,50
15,fb47,1,1,50
15,fb48,0,0,50
15,fb49,1,1,50
20,fb0,1,1,50
20,fb1,1,1,50
20,fb2,1,1,50
20,fb3,0,0,50
20,fb4,0,0,50
20,fb5,1,1,50
20,fb6,2,1,50
20,fb7,1,1,50
20,fb8,1,1,50
20,fb9,1,1,50
20,fb10,0,0,50
20,fb11,0,0,50
20,fb12,0,0,50
20,fb13,1,1,50
20,fb14,2,1,50
20,fb15,1,1,50
20,fb16,0,0,50
20,fb17,2,1,50
20,fb18,1,1,50
20,fb19,0,0,50
